ImmGenName	SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	CellType	Phenotype_Marker	Separation Method
GN.UrAc.PC#2	GSM854313	GSE15907	Granulocytes	Myeloid		GN.UrAc.PC#2	Mouse	C57BL/6J	Male	6 WEEKS	Peritoneal Cavity	NA		GN.UrAc.PC#2, GN.UrAc.PC	CD11b+ Ly6-G+	dissection/trimming
GN.UrAc.PC#3	GSM854314	GSE15907	Granulocytes	Myeloid		GN.UrAc.PC#3	Mouse	C57BL/6J	Male	6 WEEKS	Peritoneal Cavity	NA		GN.UrAc.PC#3, GN.UrAc.PC	CD11b+ Ly6-G+	dissection/trimming
LEC.MLN#2	GSM777059	GSE15907	LN	Stroma		LEC.MLN#2	Mouse	C57BL/6J	Male	6 DAYS	Mesenteric LN	CD45 TER119		LEC.MLN#2, gp38+CD31+CD45-	gp38+ CD31+	dissection/trimming
LEC.MLN#3	GSM777060	GSE15907	LN	Stroma		LEC.MLN#3	Mouse	C57BL/6J	Male	6 DAYS	Mesenteric LN	CD45 TER119		LEC.MLN#3, gp38+CD31+D45- cells	gp38+ CD31+	dissection/trimming
LEC.MLN#5	GSM777061	GSE15907	LN	Stroma		LEC.MLN#5	Mouse	C57BL/6J	Male	6 DAYS	Mesenteric LN	CD45 TER119		LEC.MLN#5, gp38+CD31+CD45- cells	gp38+ CD31+	dissection/trimming
LEC.MLN#6	GSM777062	GSE15907	LN	Stroma		LEC.MLN#6	Mouse	C57BL/6J	Male	6 DAYS	Mesenteric LN	CD45 TER119		LEC.MLN#6, gp38+CD31+CD45- cells	gp38+ CD31+	dissection/trimming
LEC.SLN.OT#1	GSM2176418	GSE15907	LN	Stroma		LEC.SLN.OT#1	Mouse	B6 (stroma) received B6 OT-I Rag1-/- T cells	Male	6 WEEKS	lymph node (subcutaneous)	CD45, Ter119, CD140a			CD31, gp38	MACS negative selection for CD45 followed by FACS
LEC.SLN.OT#2	GSM2176419	GSE15907	LN	Stroma		LEC.SLN.OT#2	Mouse	B6 (stroma) received B6 OT-I Rag1-/- T cells	Male	6 WEEKS	lymph node (subcutaneous)	CD45, Ter119, CD140a			CD31, gp38	MACS negative selection for CD45 followed by FACS
LEC.SLN.OT#3	GSM2176420	GSE15907	LN	Stroma		LEC.SLN.OT#3	Mouse	B6 (stroma) received B6 OT-I Rag1-/- T cells	Male	6 WEEKS	lymph node (subcutaneous)	CD45, Ter119, CD140a			CD31, gp38	MACS negative selection for CD45 followed by FACS
LEC.SLN#1	GSM777063	GSE15907	LN	Stroma		LEC.SLN#1	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		LEC.SLN#1, LECs from the SLN	gp38+ CD31+	dissection/trimming
LEC.SLN#2	GSM777064	GSE15907	LN	Stroma		LEC.SLN#2	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		LEC.SLN#2, LECs from the SLN	gp38+ CD31+	dissection/trimming
LEC.SLN#3	GSM777065	GSE15907	LN	Stroma		LEC.SLN#3	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		LEC.SLN#3, LECs from the SLN	gp38+ CD31+	dissection/trimming
LEC.SLN#4	GSM777066	GSE15907	LN	Stroma		LEC.SLN#4	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		LEC.SLN#4, LECs from the SLN	gp38+ CD31+	dissection/trimming
LN.TR.14w.B6#1	GSM920645	GSE15907	LN	Stroma		LN.TR.14w.B6#1	Mouse	C57BL6	Male	14 WEEKS	lymph nodes	CD11b, CD11c, B220, CD19, CD8		CCD11b- CD11c- B220- CD19- CD8- CD3+CD4+CD25+	CD3+ CD4+ CD25+	MoFlo double-sorting
LN.TR.14w.B6#2	GSM920646	GSE15907	LN	Stroma		LN.TR.14w.B6#2	Mouse	C57BL6	Male	14 WEEKS	lymph nodes	CD11b, CD11c, B220, CD19, CD8		CCD11b- CD11c- B220- CD19- CD8- CD3+CD4+CD25+	CD3+ CD4+ CD25+	MoFlo double-sorting
LN.TR.14w.B6#3	GSM920647	GSE15907	LN	Stroma		LN.TR.14w.B6#3	Mouse	C57BL6	Male	14 WEEKS	lymph nodes	CD11b, CD11c, B220, CD19, CD8		CCD11b- CD11c- B220- CD19- CD8- CD3+CD4+CD25+	CD3+ CD4+ CD25+	MoFlo double-sorting
MF.103-11b+.Lu#1	GSM854271	GSE15907	Macrophages	Myeloid		MF.103-11b+.Lu#1	Mouse	C57BL/6J	Male	8 WEEKS	lung	SiglecF CD3 DX5 B220		MF.103-11b+.Lu#1, MHCII+CD11c+CD103-CD11b+CD24-	MHCII+ CD11c+ CD103- CD11b+ CD24-	dissection/trimming
MF.103-11b+.Lu#2	GSM854272	GSE15907	Macrophages	Myeloid		MF.103-11b+.Lu#2	Mouse	C57BL/6J	Male	8 WEEKS	lung	SiglecF CD3 DX5 B220		MF.103-11b+.Lu#2, MHCII+CD11c+CD103-CD11b+CD24-	MHCII+ CD11c+ CD103- CD11b+ CD24-	dissection/trimming
MF.103-11b+.Salm3.SI#1	GSM854258	GSE15907	Macrophages	Myeloid		MF.103-11b+.Salm3.SI#1	Mouse	C57BL/6J	Male	6 WEEKS	small intestine	PI CD3 B220		MF.103-11b+.Salm3.SI#1, Small Intestinal CD11c-hi CD103-CD11b+ Macrophages, Day 3 post-infection with oral Salmonella Typhimurium	CD45+ MHCII+ Gr1- CD11c-hi CD11b+ CD103- F480+	dissection/trimming
MF.103-11b+.Salm3.SI#2	GSM854259	GSE15907	Macrophages	Myeloid		MF.103-11b+.Salm3.SI#2	Mouse	C57BL/6J	Male	6 WEEKS	small intestine	PI CD3 B220		MF.103-11b+.Salm3.SI#2, Small Intestinal CD11c-hi CD103-CD11b+ Macrophages, Day 3 post-infection with oral Salmonella Typhimurium	CD45+ MHCII+ Gr1- CD11c-hi CD11b+ CD103- F480+	dissection/trimming
MF.103-11b+.Salm3.SI#3	GSM854260	GSE15907	Macrophages	Myeloid		MF.103-11b+.Salm3.SI#3	Mouse	C57BL/6J	Male	6 WEEKS	small intestine	PI CD3 B220		MF.103-11b+.Salm3.SI#3, Small Intestinal CD11c-hi CD103-CD11b+ Macrophages, Day 3 post-infection with oral Salmonella Typhimurium	CD45+ MHCII+ Gr1- CD11c-hi CD11b+ CD103- F480+	dissection/trimming
MF.103-11b+.Salm3.SI#4	GSM854261	GSE15907	Macrophages	Myeloid		MF.103-11b+.Salm3.SI#4	Mouse	C57BL/6J	Male	6 WEEKS	small intestine	PI CD3 B220		MF.103-11b+.Salm3.SI#4, Small Intestinal CD11c-hi CD103-CD11b+ Macrophages, Day 3 post-infection with oral Salmonella Typhimurium	CD45+ MHCII+ Gr1- CD11c-hi CD11b+ CD103- F480+	dissection/trimming
MF.103-11b+.SI#1	GSM854262	GSE15907	Macrophages	Myeloid		MF.103-11b+.SI#1	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.103-11b+.SI#1, Small Intestinal Lamina Propria CD11c-hi CD103- CD11b+ MF	CD45+ MHCII+ CD11c-hi CD11b+ CD103- F4/80+	dissection/trimming
MF.103-11b+.SI#2	GSM854263	GSE15907	Macrophages	Myeloid		MF.103-11b+.SI#2	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.103-11b+.SI#2, Small Intestinal Lamina Propria CD11c-hi CD103- CD11b+ MF	CD45+ MHCII+ CD11c-hi CD11b+ CD103- F4/80+	dissection/trimming
MF.103-11b+.SI#3	GSM854264	GSE15907	Macrophages	Myeloid		MF.103-11b+.SI#3	Mouse	C57BL/6J	Male	6 WEEKS	intestine	PI CD3 B220		MF.103-11b+.SI#3, Small Intestinal Lamina Propria CD11c-hi CD103- CD11b+ MF	CD45+ MHCII+ CD11c-hi CD11b+ CD103- F4/80+	dissection/trimming
MF.103-11b+.SI#4	GSM854265	GSE15907	Macrophages	Myeloid		MF.103-11b+.SI#4	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.103-11b+.SI#4, Small Intestinal Lamina Propria CD11c-hi CD103- CD11b+ MF	CD45+ MHCII+ CD11c-hi CD11b+ CD103- F4/80+	dissection/trimming
MF.103-11b+.SI#5	GSM854266	GSE15907	Macrophages	Myeloid		MF.103-11b+.SI#5	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.103-11b+.SI#5, Small Intestinal Lamina Propria CD11c-hi CD103- CD11b+ MF	CD45+ MHCII+ CD11c-hi CD11b+ CD103- F4/80+	dissection/trimming
MF.103-11b+.SI#6	GSM854267	GSE15907	Macrophages	Myeloid		MF.103-11b+.SI#6	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.103-11b+.SI#6, Small Intestinal Lamina Propria CD11c-hi CD103- CD11b+ MF	CD45+ MHCII+ CD11c-hi CD11b+ CD103- F4/80+	dissection/trimming
MF.103-11b+.SI#7	GSM854268	GSE15907	Macrophages	Myeloid		MF.103-11b+.SI#7	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.103-11b+.SI#7, Small Intestinal Lamina Propria CD11c-hi CD103- CD11b+ MF	CD45+ MHCII+ CD11c-hi CD11b+ CD103- F4/80+	dissection/trimming
MF.11cloSer.Salm3.SI#1	GSM854276	GSE15907	Macrophages	Myeloid		MF.11cloSer.Salm3.SI#1	Mouse	C57BL/6J	Male	6 WEEKS	small intestine	PI CD3 B220		MF.11cloSer.Salm3.SI#1, Small Intestinal CD11c-lo serosal Macrophages, Day 3 post-infection with oral Salmonella Typhimurium	CD45+ MHCII+ Gr1- CD11c-lo CD11b+	dissection/trimming
MF.11cloSer.Salm3.SI#2	GSM854277	GSE15907	Macrophages	Myeloid		MF.11cloSer.Salm3.SI#2	Mouse	C57BL/6J	Male	6 WEEKS	small intestine	PI CD3 B220		MF.11cloSer.Salm3.SI#2, Small Intestinal CD11c-lo serosal Macrophages, Day 3 post-infection with oral Salmonella Typhimurium	CD45+ MHCII+ Gr1- CD11c-lo CD11b+	dissection/trimming
MF.11cloSer.Salm3.SI#3	GSM854278	GSE15907	Macrophages	Myeloid		MF.11cloSer.Salm3.SI#3	Mouse	C57BL/6J	Male	6 WEEKS	small intestine	PI CD3 B220		MF.11cloSer.Salm3.SI#3, Small Intestinal CD11c-lo serosal Macrophages, Day 3 post-infection with oral Salmonella Typhimurium	CD45+ MHCII+ Gr1- CD11c-lo CD11b+	dissection/trimming
MF.11cloSer.Salm3.SI#4	GSM854279	GSE15907	Macrophages	Myeloid		MF.11cloSer.Salm3.SI#4	Mouse	C57BL/6J	Male	6 WEEKS	small intestine	PI CD3 B220		MF.11cloSer.Salm3.SI#4, Small Intestinal CD11c-lo serosal Macrophages, Day 3 post-infection with oral Salmonella Typhimurium	CD45+ MHCII+ Gr1- CD11c-lo CD11b+	dissection/trimming
MF.11cloSer.SI#1	GSM854280	GSE15907	Macrophages	Myeloid		MF.11cloSer.SI#1	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.11cloSer.SI#1, Small Intestinal CD11c-lo CD103-CD11b+ MF	CD45+ MHCII+ CD11c-lo CD11b+	dissection/trimming
MF.11cloSer.SI#2	GSM854281	GSE15907	Macrophages	Myeloid		MF.11cloSer.SI#2	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.11cloSer.SI#2, Small Intestinal CD11c-lo CD103-CD11b+ MF	CD45+ MHCII+ CD11c-lo CD11b+	dissection/trimming
MF.11cloSer.SI#3	GSM854282	GSE15907	Macrophages	Myeloid		MF.11cloSer.SI#3	Mouse	C57BL/6J	Male	6 WEEKS	intestine	PI CD3 B220		MF.11cloSer.SI#3, Small Intestinal CD11c-lo CD103-CD11b+ MF	CD45+ MHCII+ CD11c-lo CD11b+	dissection/trimming
MF.11cloSer.SI#4	GSM854283	GSE15907	Macrophages	Myeloid		MF.11cloSer.SI#4	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.11cloSer.SI#4, Small Intestinal CD11c-lo CD103-CD11b+ MF	CD45+ MHCII+ CD11c-lo CD11b+	dissection/trimming
MF.11cloSer.SI#5	GSM854284	GSE15907	Macrophages	Myeloid		MF.11cloSer.SI#5	Mouse	C57BL/6J	Male	7 WEEKS	intestine	PI CD3 B220		MF.11cloSer.SI#5, Small Intestinal CD11c-lo CD103-CD11b+ MF	CD45+ MHCII+ CD11c-lo CD11b+	dissection/trimming
MF.169+11chi.SLN#1	GSM854315	GSE15907	Macrophages	Myeloid		MF.169+11chi.SLN#1	Mouse	C57BL/6J	Male	6 WEEKS	Skin-draining LN	B220 CD90 Ly-6G CD103 SiglecF		MF.169+11chi.SLN#1, CD169+CD11c high macrophage from skin-draining lymph nodes	CD11b+ CD169+ CD11chigh	dissection/trimming
MF.169+11chi.SLN#2	GSM854316	GSE15907	Macrophages	Myeloid		MF.169+11chi.SLN#2	Mouse	C57BL/6J	Male	6 WEEKS	Skin-draining LN	B220 CD90 Ly-6G CD103 SiglecF		MF.169+11chi.SLN#2, CD169+CD11c high macrophage from skin-draining lymph nodes	CD11b+ CD169+ CD11chigh	dissection/trimming
MF.BM#1	GSM854317	GSE15907	Macrophages	Myeloid		MF.BM#1	Mouse	C57BL/6J	Male	8 WEEKS	Bone marrow	NA		MF.BM#1, B220neg CD3neg  Ly-6C/Glo CD115int F4/80+	B220neg CD3neg Ly-6C/Glo CD115int F4/80+	dissection/trimming
MF.BM#2	GSM854318	GSE15907	Macrophages	Myeloid		MF.BM#2	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	NA		MF.BM#2, B220neg CD3neg  Ly-6C/Glo CD115int F4/80+	B220neg CD3neg Ly-6C/Glo CD115int F4/80+	dissection/trimming
MF.BM#3	GSM854319	GSE15907	Macrophages	Myeloid		MF.BM#3	Mouse	C57BL/6J	Male	8 WEEKS	Bone marrow	NA		MF.BM#3, B220neg CD3neg  Ly-6C/Glo CD115int F4/80+	B220neg CD3neg Ly-6C/Glo CD115int F4/80+	dissection/trimming
MF.II-480hi.PC#1	GSM605850	GSE15907	Macrophages	Myeloid		MF.II-480hi.PC#1	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.II-480hi.PC#1	F4/80hi CD115hi CD11b+ MHC II- CD11c-	dissection/trimming
MF.II-480hi.PC#2	GSM605851	GSE15907	Macrophages	Myeloid		MF.II-480hi.PC#2	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.II-480hi.PC#2	F4/80hi CD115hi CD11b+ MHC II- CD11c-	dissection/trimming
MF.II-480hi.PC#3	GSM605852	GSE15907	Macrophages	Myeloid		MF.II-480hi.PC#3	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.II-480hi.PC#3	F4/80hi CD115hi CD11b+ MHC II- CD11c-	dissection/trimming
MF.II+480lo.PC#1	GSM854294	GSE15907	Macrophages	Myeloid		MF.II+480lo.PC#1	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.II+480lo.PC#1, Peritoneal Lavage	F4/80lo MHC II+ CD11c+ CD115+	dissection/trimming
MF.II+480lo.PC#2	GSM854295	GSE15907	Macrophages	Myeloid		MF.II+480lo.PC#2	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.II+480lo.PC#2, Peritoneal Lavage	F4/80lo MHC II+ CD11c+ CD115+	dissection/trimming
MF.II+480lo.PC#3	GSM854296	GSE15907	Macrophages	Myeloid		MF.II+480lo.PC#3	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.II+480lo.PC#3, Peritoneal Lavage	F4/80lo MHC II+ CD11c+ CD115+	dissection/trimming
MF.Lu#1	GSM538282	GSE15907	Macrophages	Myeloid		MF.Lu#1	Mouse	C57BL/6J	Male	6 WEEKS	lung	Positive CD11c selection		MF.Lu#1, lung macrophage	CD11chi CD11b- CD103- MHCII- SiglecF+	dissection/trimming
MF.Lu#2	GSM538283	GSE15907	Macrophages	Myeloid		MF.Lu#2	Mouse	C57BL/6J	Male	6 WEEKS	lung	Positive CD11c selection		MF.Lu#2, lung macrophage	CD11chi CD11b- CD103- MHCII- SiglecF+	dissection/trimming
MF.Lu#3	GSM538284	GSE15907	Macrophages	Myeloid		MF.Lu#3	Mouse	C57BL/6J	Male	6 WEEKS	lung	Positive CD11c selection		MF.Lu#3, lung macrophage	CD11chi CD11b- CD103- MHCII- SiglecF+	dissection/trimming
MF.Medl.SLN#1	GSM854322	GSE15907	Macrophages	Myeloid		MF.Medl.SLN#1	Mouse	C57BL/6J	Male	6 WEEKS	Skin-draining LN	B220 CD90 Ly-6G CD103 SiglecF CD11c		MF.Medl.SLN#1, Medullary macrophages from skin draining lymph nodes	CD11b+ CD169+ F4/80+	dissection/trimming
MF.Medl.SLN#2	GSM854323	GSE15907	Macrophages	Myeloid		MF.Medl.SLN#2	Mouse	C57BL/6J	Male	6 WEEKS	Skin-draining LN	B220 CD90 Ly-6G CD103 SiglecF CD11c		MF.Medl.SLN#2, Medullary macrophages from skin draining lymph nodes	CD11b+ CD169+ F4/80+	dissection/trimming
MF.Microglia.CNS#1	GSM854326	GSE15907	Macrophages	Myeloid		MF.Microglia.CNS#1	Mouse	C57BL/6J	Male	8 WEEKS	brain	NA		MF.Microglia.CNS#1, CD45low CD11b+ F480+	CD45low CD11b+ F4/80+	dissection/trimming
MF.Microglia.CNS#2	GSM854327	GSE15907	Macrophages	Myeloid		MF.Microglia.CNS#2	Mouse	C57BL/6J	Male	8 WEEKS	brain	NA		MF.Microglia.CNS#2, CD45low CD11b+ F480+	CD45low CD11b+ F4/80+	dissection/trimming
MF.Microglia.CNS#3	GSM854328	GSE15907	Macrophages	Myeloid		MF.Microglia.CNS#3	Mouse	C57BL/6J	Male	8 WEEKS	brain	NA		MF.Microglia.CNS#3, CD45low CD11b+ F4/80+	CD45low CD11b+ F4/80+	dissection/trimming
MF.PPAR-.Lu#2	GSM1398469	GSE15907	Macrophages	Myeloid		MF.PPAR-.Lu#2	Mouse	C57BL/6J	Male	6 WEEKS	Lung	MHCII- CD11b- CD103-			CD11c+ MHCII- CD11b- CD103- SiglecF+	dissection / Trimming
MF.PPAR-.Lu#3	GSM1398470	GSE15907	Macrophages	Myeloid		MF.PPAR-.Lu#3	Mouse	C57BL/6J	Male	6 WEEKS	Lung	MHCII- CD11b- CD103-			CD11c+ MHCII- CD11b- CD103- SiglecF+	dissection / Trimming
MF.PPAR-.Lu#4	GSM1398471	GSE15907	Macrophages	Myeloid		MF.PPAR-.Lu#4	Mouse	C57BL/6J	Male	6 WEEKS	Lung	MHCII- CD11b- CD103-			CD11c+ MHCII- CD11b- CD103- SiglecF+	dissection / Trimming
MF.RP.Sp#1	GSM605853	GSE15907	Macrophages	Myeloid		MF.RP.Sp#1	Mouse	C57BL/6J	Male	8 WEEKS	spleen	NA		MF.RP.Sp#1	F4/80hi CD11blo CD11c- autofluorescent	dissection/trimming
MF.RP.Sp#2	GSM605854	GSE15907	Macrophages	Myeloid		MF.RP.Sp#2	Mouse	C57BL/6J	Male	8 WEEKS	spleen	NA		MF.RP.Sp#2	F4/80hi CD11blo CD11c- autofluorescent	dissection/trimming
MF.RP.Sp#3	GSM605855	GSE15907	Macrophages	Myeloid		MF.RP.Sp#3	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		MF.RP.Sp#3	F4/80hi CD11blo CD11c- autofluorescent	dissection/trimming
MF.Sbcaps.SLN#2	GSM854324	GSE15907	Macrophages	Myeloid		MF.Sbcaps.SLN#2	Mouse	C57BL/6J	Male	6 WEEKS	Skin-draining LN	B220 CD90 Ly-6G CD103 SiglecF CD11c		MF.Sbcaps.SLN#2, Subcapsular sinus macrophages from skin draining lymph nodes	CD11b+ CD169+ F4/80-	dissection/trimming
MF.Sbcaps.SLN#3	GSM854325	GSE15907	Macrophages	Myeloid		MF.Sbcaps.SLN#3	Mouse	C57BL/6J	Male	6 WEEKS	Skin-draining LN	B220 CD90 Ly-6G CD103 SiglecF CD11c		MF.Sbcaps.SLN#3, Subcapsular sinus macrophages from skin draining lymph nodes	CD11b+ CD169+ F4/80-	dissection/trimming
MF.Thio5.II-480hi.PC#1	GSM605862	GSE15907	Macrophages	Myeloid		MF.Thio5.II-480hi.PC#1	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II-480hi.PC#1	CD115+ MHC II- F480hi Siglec F-	dissection/trimming
MF.Thio5.II-480hi.PC#2	GSM605863	GSE15907	Macrophages	Myeloid		MF.Thio5.II-480hi.PC#2	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II-480hi.PC#2	CD115+ MHC II- F480hi Siglec F-	dissection/trimming
MF.Thio5.II-480hi.PC#3	GSM605864	GSE15907	Macrophages	Myeloid		MF.Thio5.II-480hi.PC#3	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II-480hi.PC#3	CD115+ MHC II- F480hi Siglec F-	dissection/trimming
MF.Thio5.II-480int.PC#1	GSM605865	GSE15907	Macrophages	Myeloid		MF.Thio5.II-480int.PC#1	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II-480int.PC#1	CD115+ MHCII- F480int SiglecF- CD11c+	dissection/trimming
MF.Thio5.II-480int.PC#2	GSM605866	GSE15907	Macrophages	Myeloid		MF.Thio5.II-480int.PC#2	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II-480int.PC#2	CD115+ MHCII- F480int SiglecF- CD11c+	dissection/trimming
MF.Thio5.II-480int.PC#3	GSM605867	GSE15907	Macrophages	Myeloid		MF.Thio5.II-480int.PC#3	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II-480int.PC#3	CD115+ MHCII- F480int SiglecF- CD11c+	dissection/trimming
MF.Thio5.II+480int.PC#1	GSM605856	GSE15907	Macrophages	Myeloid		MF.Thio5.II+480int.PC#1	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II+480int.PC#1	CD115+ MHC II+ F480lo SiglecF- CD11c+	dissection/trimming
MF.Thio5.II+480int.PC#2	GSM605857	GSE15907	Macrophages	Myeloid		MF.Thio5.II+480int.PC#2	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II+480int.PC#2	CD115+ MHC II+ F480lo SiglecF- CD11c+	dissection/trimming
MF.Thio5.II+480int.PC#3	GSM605858	GSE15907	Macrophages	Myeloid		MF.Thio5.II+480int.PC#3	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II+480int.PC#3	CD115+ MHC II+ F480lo SiglecF- CD11c+	dissection/trimming
MF.Thio5.II+480lo.PC#1	GSM605859	GSE15907	Macrophages	Myeloid		MF.Thio5.II+480lo.PC#1	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II+480lo.PC#1	CD115+ MHC II+ F480lo SiglecF- CD11c+	dissection/trimming
MF.Thio5.II+480lo.PC#2	GSM605860	GSE15907	Macrophages	Myeloid		MF.Thio5.II+480lo.PC#2	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II+480lo.PC#2	CD115+ MHC II+ F480lo SiglecF- CD11c+	dissection/trimming
MF.Thio5.II+480lo.PC#3	GSM605861	GSE15907	Macrophages	Myeloid		MF.Thio5.II+480lo.PC#3	Mouse	C57BL/6J	Male	8 WEEKS	Peritoneal Cavity	NA		MF.Thio5.II+480lo.PC#3	CD115+ MHC II+ F480lo SiglecF- CD11c+	dissection/trimming
MLP.BM#1	GSM791124	GSE15907	MLP	Pre/Prog/Stem Lineages		MLP.BM#1	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	TER119- Ly6c- CD3- Gr1- CD11b-		MLP.BM#1, Bone Marrow MLP	CD19- IgM- CD43+ CD24- AA4.1+ CD45R- CD117+ IL7R-	dissection/trimming
MLP.BM#2	GSM791125	GSE15907	MLP	Pre/Prog/Stem Lineages		MLP.BM#2	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	TER119- Ly6c- CD3- Gr1- CD11b-		MLP.BM#2, Bone Marrow MLP	CD19- IgM- CD43+ CD24- AA4.1+ CD45R- CD117+ IL7R-	dissection/trimming
MLP.BM#3	GSM791129	GSE15907	MLP	Pre/Prog/Stem Lineages		MLP.BM#3	Mouse	C57BL/6J	Male	10 WEEKS	Bone marrow	TER119 Ly6c CD11b GR1 CD3		MLP.BM#3, lineage-AA4.1+CD117++IL7R+CD45R-	CD19- IgM- CD43+ CD24intermediate AA4.1+ CD45R- CD117++ IL7R-	dissection/trimming
MLP.BM#4	GSM791130	GSE15907	MLP	Pre/Prog/Stem Lineages		MLP.BM#4	Mouse	C57BL/6J	Male	11 WEEKS	Bone marrow	TER119 Ly6c CD11b GR1 CD3		MLP.BM#4, lineage-AA4.1+CD1117++IL7R-CD45R-	CD19- IgM- CD43+ CD24intermediate AA4.1+ CD45R- CD117++ IL7R-	dissection/trimming
MLP.FL#1	GSM791131	GSE15907	MLP	Pre/Prog/Stem Lineages		MLP.FL#1	Mouse	C57BL/6J	pooled male and female	15 DAYS	Fetal Liver	TER119 Ly6c CD11b GR1 CD3		MLP.FL#1, lineage -, AA4.1+,CD117++ Il7R- CD45R-	CD19- IgM- CD43+ CD24intermediate AA4.1+ CD45R- CD117++ IL7R-	dissection/trimming
MLP.FL#2	GSM791132	GSE15907	MLP	Pre/Prog/Stem Lineages		MLP.FL#2	Mouse	C57BL/6J	pooled male and female	15 DAYS	Fetal Liver	Ly6c TER119 CD3 GR1 CD11b		MLP.FL#2, lineage - AA4.1+CD117++IL7R-CD45R-	CD19- IgM- CD43+ CD24intermediate AA4.1+ CD45R- CD117++ IL7R-	dissection/trimming
MLP.FL#3	GSM791133	GSE15907	MLP	Pre/Prog/Stem Lineages		MLP.FL#3	Mouse	C57BL/6J	pooled male and female	15 DAYS	Fetal Liver	Ly6c TER119 CD3 GR1 CD11b		MLP.FL#3, lineage-AA4.1+CD117++IL7R-CD45R-	CD19- IgM- CD43+ CD24intermediate AA4.1+ CD45R- CD117++ IL7R-	dissection/trimming
Mo.6C-II-.Bl#3	GSM605884	GSE15907	Monocytes	Myeloid		Mo.6C-II-.Bl#3	Mouse	C57BL/6J	Male	6 WEEKS	blood	B220		Mo.6C-II-.Bl#3, population 4 Ly6Clo MHCII-	CD115+ B220- CD43- Ly6C- MHCII-	dissection/trimming
Mo.6C-II-.Bl#4	GSM605885	GSE15907	Monocytes	Myeloid		Mo.6C-II-.Bl#4	Mouse	C57BL/6J	Male	6 WEEKS	blood	Nk1.1- b220-		Mo.6C-II-.Bl#4, Nonclassical monocytes MHC II-	CD115+ B220- CD43- Ly6C- MHCII-	dissection/trimming
Mo.6C-II-.BM#1	GSM854332	GSE15907	Monocytes	Myeloid		Mo.6C-II-.BM#1	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	NA		Mo.6C-II-.BM#1, B220neg CD3neg CD115+ Ly-6C/Glo CD43+	B220neg CD3neg CD115+ Ly-6C/Glo CD43+	dissection/trimming
Mo.6C-II-.BM#2	GSM854333	GSE15907	Monocytes	Myeloid		Mo.6C-II-.BM#2	Mouse	C57BL/6J	Male	8 WEEKS	Bone marrow	NA		Mo.6C-II-.BM#2, B220neg CD3neg CD115+ Ly-6C/Glo CD43+	B220neg CD3neg CD115+ Ly-6C/Glo CD43+	dissection/trimming
